Nb_of_items,item,cahs_price,make,model,Nbr_of_prod_purchas
509,1,17,949.0,8,50,1
510,2,55,1099.0,8,223,1
511,1,57,1099.0,109,924,1
512,1,17,749.0,8,63,1
513,1,17,2425.0,8,81,1
514,1,57,1029.0,153,2261,1
515,1,17,1379.0,8,54,1
516,1,57,1499.0,109,935,1
517,1,17,554.0,8,33,1
518,1,57,1789.0,165,2409,1
519,2,17,2470.0,8,3,1
520,2,17,1899.0,8,79,1
521,1,57,1599.0,153,2268,1
522,3,57,1199.0,109,929,1
523,1,17,889.0,8,50,1
524,1,17,949.0,8,50,1
525,2,17,1149.0,8,54,1
526,1,17,949.0,8,50,1
527,1,16,394.0,8,329,1
528,2,16,369.0,8,278,1
529,1,17,1379.0,8,54,1
530,1,57,1699.0,109,937,1
531,3,57,2999.0,109,939,1
532,3,55,774.0,8,188,1
533,2,42,2089.0,146,1242,1
534,1,57,1199.0,109,929,1
535,1,54,1548.0,8,189,2
536,2,16,379.0,8,297,1
537,2,17,1999.0,8,53,1
538,3,17,1899.0,8,79,1
539,1,17,1449.0,8,59,1
540,3,12,949.0,146,1481,1
541,2,16,379.0,8,294,1
542,3,17,979.0,8,49,1
543,2,17,2470.0,8,3,1
544,2,15,719.0,8,293,1
545,2,17,1379.0,8,54,1
546,1,15,669.0,196,2837,1
547,2,17,949.0,8,49,1
548,1,17,898.0,8,50,1
549,1,17,1187.0,8,54,1
550,1,16,409.0,8,303,1
551,1,17,1769.0,8,79,1
552,1,17,1500.0,8,59,1
553,1,17,1534.0,8,59,1
554,1,16,499.0,8,347,1
555,2,42,1499.0,146,537,1
556,1,17,630.0,8,48,1
557,1,17,889.0,8,50,1
558,3,17,1534.0,8,59,1
559,3,17,554.0,8,33,1
560,1,17,2599.0,8,81,1
561,3,12,1039.0,146,1759,1
562,1,17,1529.0,8,59,1
563,1,17,1899.0,8,79,1
564,1,16,379.0,8,295,1
565,1,17,1052.0,8,73,1
566,2,17,849.0,8,65,1
567,2,17,1168.0,8,54,1
568,1,17,889.0,8,50,1
569,1,17,1898.0,8,50,2
570,1,17,889.0,8,50,1
571,1,17,899.0,8,50,1
572,2,17,1549.0,8,53,1
573,2,17,2599.0,8,81,1
574,3,15,349.0,8,293,1
575,2,57,1199.0,153,2272,1
576,2,57,1999.0,165,2407,1
577,2,57,3499.0,165,2410,1
578,3,42,599.0,146,1348,1
579,1,57,999.0,109,926,1
580,1,17,889.0,8,50,1
581,2,17,1187.0,8,54,1
582,1,42,1249.0,78,681,1
583,1,12,559.0,157,1166,1
584,2,16,399.0,8,327,1
585,1,42,1199.0,172,2100,1
586,1,17,1159.0,8,54,1
587,2,17,719.0,8,82,1
588,1,57,1599.0,153,2284,1
589,1,17,898.0,8,50,1
590,6,42,2849.0,146,1240,1
591,1,57,899.0,165,2408,1
592,1,16,399.0,8,329,1
593,2,17,1099.0,8,6,1
594,2,17,552.0,8,33,1
595,3,55,774.0,8,207,1
596,2,57,1499.0,165,2406,1
597,1,17,949.0,8,50,1
598,2,17,1159.0,8,54,1
599,1,16,369.0,8,324,1
600,1,16,379.0,8,297,1
601,1,17,1769.0,8,79,1
602,1,16,699.0,8,342,1
603,2,57,1299.0,109,929,1
604,1,17,1159.0,8,54,1
605,2,17,1559.0,8,53,1
606,2,17,2398.0,8,68,2
607,1,16,379.0,8,295,1
608,1,17,889.0,8,50,1
609,1,17,1148.0,8,50,1
610,4,57,1029.0,153,2261,1
611,2,17,2999.0,8,78,1
612,2,17,898.0,8,50,1
613,1,17,1785.0,8,53,1
614,1,29,550.0,143,103,1
615,1,17,719.0,8,82,1
616,1,17,949.0,8,50,1
617,1,17,1649.0,8,59,1
618,2,42,1899.0,113,2423,1
619,2,17,949.0,8,50,1
620,2,17,1149.0,8,54,1
621,4,12,1040.0,146,1783,1
622,1,57,939.0,109,924,1
623,2,46,798.0,110,1166,2
624,1,17,949.0,8,50,1
625,2,17,1187.0,8,51,1
626,2,17,1379.0,8,54,1
627,2,57,1399.0,140,1113,1
628,4,57,1799.0,165,2409,1
629,1,57,1299.0,140,1105,1
630,1,17,1187.0,8,54,1
631,3,17,699.0,8,48,1
632,1,17,1769.0,8,79,1
633,2,17,999.0,8,77,1
634,1,17,899.0,153,2233,1
635,1,16,399.0,8,329,1
636,1,16,369.0,8,324,1
637,3,41,1049.0,146,1166,1
638,2,42,695.0,173,2541,1
639,1,17,1319.0,8,54,1
640,3,57,879.0,165,2405,1
641,2,57,1399.0,109,937,1
642,10,42,2649.0,146,1240,1
643,2,17,889.0,8,50,1
644,2,17,1099.0,8,77,1
645,1,17,1150.0,8,59,1
646,2,17,959.0,8,71,1
647,1,17,898.0,8,50,1
648,2,57,2999.0,109,943,1
649,2,17,898.0,8,50,1
650,2,17,1187.0,8,54,1
651,1,17,1117.0,8,50,1
652,1,16,369.0,8,326,1
653,2,57,1199.0,165,2398,1
654,2,17,699.0,8,48,1
655,1,17,889.0,8,50,1
656,2,17,849.0,8,65,1
657,4,42,4198.0,146,1249,2
658,1,46,1599.0,99,830,1
659,1,41,716.0,163,1166,1
660,1,16,379.0,8,297,1
661,2,17,1159.0,8,54,1
662,2,57,1499.0,165,2406,1
663,1,17,539.0,8,33,1
664,1,16,409.0,8,303,1
665,1,17,1187.0,8,54,1
666,1,57,1699.0,153,2280,1
667,2,17,949.0,8,50,1
668,1,42,2249.0,146,1211,1
669,1,42,1679.0,146,1560,1
670,1,57,1549.0,165,2409,1
671,1,17,1149.0,8,54,1
672,1,17,2599.0,8,81,1
673,2,55,724.0,8,188,1
674,1,16,379.0,8,272,1
675,1,17,898.0,8,50,1
676,2,16,369.0,8,278,1
677,3,17,1150.0,8,59,1
678,2,42,899.0,146,536,1
679,2,16,369.0,8,326,1
680,1,17,949.0,8,50,1
681,2,17,1199.0,8,68,1
682,1,57,1899.0,165,2409,1
683,2,55,819.0,153,2226,1
684,1,42,2099.0,146,1249,1
685,1,57,1198.0,109,934,1
686,1,17,2399.0,8,81,1
687,2,17,1899.0,8,79,1
688,2,17,949.0,8,50,1
689,1,17,1899.0,8,79,1
690,1,17,2399.0,8,81,1
691,1,57,1299.0,109,929,1
692,2,42,1519.0,146,1544,1
693,1,17,889.0,8,50,1
694,1,15,379.0,196,2837,1
695,1,16,1499.0,8,265,1
696,2,17,1099.0,8,73,1
697,1,16,399.0,8,327,1
698,1,17,749.0,8,69,1
699,3,16,399.0,8,329,1
700,2,55,499.0,8,252,1
701,1,17,949.0,8,50,1
702,12,5,1070.0,186,2681,1
703,2,17,949.0,8,50,1
704,1,17,699.0,8,63,1
705,1,16,699.0,8,346,1
706,3,57,979.0,153,2301,1
707,1,17,2155.0,8,79,1
708,1,17,1117.0,8,50,1
709,4,34,1645.0,95,785,1
710,2,33,699.0,193,2783,1
711,1,17,749.0,8,63,1
712,2,55,724.0,8,188,1
713,2,55,874.0,8,188,1
714,3,17,937.0,8,49,1
715,1,17,898.0,8,50,1
716,1,17,965.0,8,71,1
717,2,57,2299.0,109,939,1
718,2,42,2739.0,146,1260,1
719,1,17,649.0,8,33,1
720,2,55,1099.0,8,236,1
721,5,56,1667.0,109,1071,1
722,2,55,399.0,8,244,1
723,1,17,1649.0,8,59,1
724,1,57,949.0,165,2395,1
725,3,17,779.0,8,40,1
726,1,17,893.0,8,50,1
727,2,55,624.0,8,207,1
728,1,17,1899.0,8,79,1
729,2,17,1249.0,8,76,1
730,2,17,999.0,8,71,1
731,1,33,1499.0,80,699,1
732,1,17,1168.0,8,54,1
733,1,57,1199.0,109,924,1
734,3,17,1529.0,8,59,1
735,1,54,649.0,153,2223,1
736,3,17,1649.0,8,59,1
737,1,17,1187.0,8,54,1
738,1,57,1099.0,109,931,1
739,2,17,2599.0,8,81,1
740,2,9,529.0,190,2734,1
741,1,16,399.0,8,329,1
742,3,15,379.0,8,293,1
743,1,17,949.0,8,50,1
744,2,16,399.0,8,329,1
745,3,42,899.0,146,1361,1
746,1,17,2399.0,8,81,1
747,1,16,399.0,8,279,1
748,2,17,554.0,8,33,1
749,1,17,949.0,8,50,1
750,1,42,2399.0,146,1211,1
751,1,17,1187.0,8,54,1
752,2,15,388.0,8,293,1
753,4,17,1117.0,8,50,1
754,1,17,849.0,8,65,1
755,1,17,889.0,8,50,1
756,12,5,879.0,139,1091,1
757,1,17,1168.0,8,54,1
758,4,12,1000.0,146,1795,2
759,1,17,889.0,8,50,1
760,2,17,1049.0,8,67,1
761,3,17,938.0,8,49,1
762,1,17,1899.0,8,79,1
763,1,42,2474.0,146,2154,1
764,1,16,479.0,8,276,1
765,1,57,1399.0,109,915,1
766,2,42,2199.0,146,1447,1
767,1,17,749.0,8,63,1
768,1,16,369.0,8,326,1
769,1,17,887.0,8,50,1
770,1,17,1899.0,8,79,1
771,1,17,1899.0,8,79,1
772,1,57,898.0,165,2408,1
773,4,46,1762.0,99,837,1
774,1,17,569.0,8,82,1
775,2,15,669.0,8,293,1
776,2,17,569.0,8,82,1
777,1,57,999.0,109,924,1
778,3,17,949.0,8,50,1
779,1,57,1299.0,153,2266,1
780,1,17,549.0,8,33,1
781,1,42,3198.0,146,1512,2
782,1,17,1379.0,8,54,1
783,1,12,1825.0,175,1166,1
784,1,17,898.0,8,50,1
785,1,17,1168.0,8,54,1
786,1,54,379.0,153,2207,1
787,2,55,1199.0,8,236,1
788,7,12,599.0,146,1977,1
789,3,55,624.0,8,207,1
790,5,17,1099.0,8,73,1
791,1,17,949.0,8,50,1
792,1,17,1358.0,8,54,1
793,1,16,399.0,8,327,1
794,2,17,1999.0,8,74,1
795,2,17,1149.0,8,59,1
796,1,57,1799.0,109,937,1
797,2,15,379.0,8,293,1
798,2,16,369.0,8,326,1
799,1,17,2399.0,8,81,1
800,1,16,379.0,8,295,1
801,2,17,825.0,8,65,1
802,2,56,3499.0,165,2834,1
803,1,17,1187.0,8,54,1
804,1,16,369.0,8,326,1
805,4,57,1299.0,165,2406,1
806,2,16,394.0,8,329,1
807,2,17,939.0,8,49,1
808,4,13,1000.0,124,1014,1
809,1,17,893.0,8,50,1
810,2,56,2899.0,196,2837,1
811,4,17,1099.0,8,73,1
812,1,17,556.0,8,34,1
813,1,57,779.0,165,2405,1
814,2,57,1599.0,109,937,1
815,3,17,965.0,8,71,1
816,2,57,2188.0,153,2294,1
817,1,42,1395.0,173,2564,1
818,1,17,691.0,8,33,1
819,1,41,1099.0,146,1166,1
820,2,17,1299.0,8,75,1
821,1,17,1799.0,8,79,1
822,1,35,549.0,51,529,1
823,1,57,1199.0,109,929,1
824,1,17,1855.0,8,79,1
825,2,17,1649.0,8,59,1
826,2,15,349.0,8,293,1
827,1,46,1599.0,99,830,1
828,1,17,1117.0,8,49,1
829,3,17,1649.0,8,72,1
830,1,17,889.0,8,50,1
831,1,17,521.0,8,33,1
832,1,17,691.0,8,33,1
